consensus_rate,fairness,efficiency,satisfaction,scenario,method
0.5714285714285714,0.5102040914285713,1.0,0.5,byzantine_noise.json,majority
0.2857142857142857,0.5102040914285713,1.0,0.5,byzantine_noise.json,plurality
0.5714285714285714,0.5102040914285713,1.0,0.5,byzantine_noise.json,borda
0.42857142857142855,0.5102040914285713,1.0,0.5,byzantine_noise.json,condorcet
0.2857142857142857,0.5102040914285713,1.0,0.5,byzantine_noise.json,quadratic
0.42857142857142855,0.5102040914285713,1.0,0.5,byzantine_noise.json,byzantine
0.2857142857142857,0.5102040914285713,1.0,0.5,byzantine_noise.json,raft
0.42857142857142855,0.6071428640178571,1.0,0.5714285714285714,strategic_manipulation.json,majority
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,strategic_manipulation.json,plurality
0.5714285714285714,0.6071428640178571,1.0,0.5714285714285714,strategic_manipulation.json,borda
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,strategic_manipulation.json,condorcet
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,strategic_manipulation.json,quadratic
0.42857142857142855,0.6071428640178571,1.0,0.5714285714285714,strategic_manipulation.json,byzantine
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,strategic_manipulation.json,raft
0.2,0.6666666722222221,1.0,0.6,strategic_bloc.json,majority
0.6,0.5200000095999997,1.0,0.5,strategic_bloc.json,plurality
0.2,0.6666666722222221,1.0,0.6,strategic_bloc.json,borda
0.6,0.5200000095999997,1.0,0.5,strategic_bloc.json,condorcet
0.6,0.5200000095999997,1.0,0.5,strategic_bloc.json,quadratic
0.6,0.5200000095999997,1.0,0.5,strategic_bloc.json,byzantine
0.2,0.6666666722222221,1.0,0.6,strategic_bloc.json,raft
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,strategic_majority.json,majority
0.14285714285714285,0.6071428640178571,1.0,0.5714285714285714,strategic_majority.json,plurality
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,strategic_majority.json,borda
0.14285714285714285,0.6071428640178571,1.0,0.5714285714285714,strategic_majority.json,condorcet
0.14285714285714285,0.6071428640178571,1.0,0.5714285714285714,strategic_majority.json,quadratic
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,strategic_majority.json,byzantine
0.14285714285714285,0.6071428640178571,1.0,0.5714285714285714,strategic_majority.json,raft
0.375,0.5694444520987654,1.0,0.5625,coalition_conflict.json,majority
0.5,0.5694444520987654,1.0,0.5625,coalition_conflict.json,plurality
0.25,0.5694444520987654,1.0,0.5625,coalition_conflict.json,borda
0.25,0.5694444520987654,1.0,0.5625,coalition_conflict.json,condorcet
0.25,0.5694444520987654,1.0,0.5625,coalition_conflict.json,quadratic
0.25,0.5694444520987654,1.0,0.5625,coalition_conflict.json,byzantine
0.25,0.5694444520987654,1.0,0.5625,coalition_conflict.json,raft
0.375,0.7386363674380165,1.0,0.6875,coalition_explicit.json,majority
0.25,0.6500000055999999,1.0,0.625,coalition_explicit.json,plurality
0.5,0.7386363674380165,1.0,0.6875,coalition_explicit.json,borda
0.375,0.6500000055999999,1.0,0.625,coalition_explicit.json,condorcet
0.375,0.6500000055999999,1.0,0.625,coalition_explicit.json,quadratic
0.375,0.6500000055999999,1.0,0.625,coalition_explicit.json,byzantine
0.5,0.7386363674380165,1.0,0.6875,coalition_explicit.json,raft
0.4,0.5200000095999997,1.0,0.5,spoiler_candidate.json,majority
0.4,0.6666666722222221,1.0,0.6,spoiler_candidate.json,plurality
0.4,0.5200000095999997,1.0,0.5,spoiler_candidate.json,borda
0.4,0.5200000095999997,1.0,0.5,spoiler_candidate.json,condorcet
0.4,0.5200000095999997,1.0,0.5,spoiler_candidate.json,quadratic
0.4,0.5200000095999997,1.0,0.5,spoiler_candidate.json,byzantine
0.4,0.6666666722222221,1.0,0.6,spoiler_candidate.json,raft
0.1,0.6000000079999999,1.0,0.5,multiwinner_test.json,majority
0.1,0.6000000079999999,1.0,0.5,multiwinner_test.json,plurality
0.1,0.6142857216326529,1.0,0.525,multiwinner_test.json,borda
0.4,0.522222232839506,1.0,0.45,multiwinner_test.json,condorcet
0.2,0.5947368506371189,1.0,0.475,multiwinner_test.json,quadratic
0.3,0.6818181876033057,1.0,0.55,multiwinner_test.json,byzantine
0.1,0.6000000079999999,1.0,0.5,multiwinner_test.json,raft
0.25,0.670454551446281,1.0,0.55,large_committee.json,majority
0.2,0.6256097634027364,1.0,0.5125,large_committee.json,plurality
0.2,0.5305555659876543,1.0,0.45,large_committee.json,borda
0.2,0.5305555659876543,1.0,0.45,large_committee.json,condorcet
0.25,0.6256097634027364,1.0,0.5125,large_committee.json,quadratic
0.2,0.670454551446281,1.0,0.55,large_committee.json,byzantine
0.25,0.6158536660321237,1.0,0.5125,large_committee.json,raft
0.5714285714285714,0.6666666725,1.0,0.5714285714285714,large_strategic_bloc.json,majority
0.14285714285714285,0.7959183704081632,1.0,0.6666666666666669,large_strategic_bloc.json,plurality
0.14285714285714285,0.7582417621470836,1.0,0.619047619047619,large_strategic_bloc.json,borda
0.14285714285714285,0.7959183704081632,1.0,0.6666666666666669,large_strategic_bloc.json,condorcet
0.14285714285714285,0.7582417621470836,1.0,0.619047619047619,large_strategic_bloc.json,quadratic
0.5714285714285714,0.6666666725,1.0,0.5714285714285714,large_strategic_bloc.json,byzantine
0.14285714285714285,0.7959183704081632,1.0,0.6666666666666669,large_strategic_bloc.json,raft
0.4,0.6666666722222221,1.0,0.6,cyclic_majority.json,majority
0.4,0.5200000095999997,1.0,0.5,cyclic_majority.json,plurality
0.4,0.6666666722222221,1.0,0.6,cyclic_majority.json,borda
0.4,0.5200000095999997,1.0,0.5,cyclic_majority.json,condorcet
0.4,0.5200000095999997,1.0,0.5,cyclic_majority.json,quadratic
0.4,0.6666666722222221,1.0,0.6,cyclic_majority.json,byzantine
0.4,0.5200000095999997,1.0,0.5,cyclic_majority.json,raft
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,custom_context.json,majority
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,custom_context.json,plurality
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,custom_context.json,borda
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,custom_context.json,condorcet
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,custom_context.json,quadratic
0.42857142857142855,0.6071428640178571,1.0,0.5714285714285714,custom_context.json,byzantine
0.2857142857142857,0.6071428640178571,1.0,0.5714285714285714,custom_context.json,raft
0.2857142857142857,0.5844155923494686,1.0,0.5238095238095238,project_funding.json,majority
0.42857142857142855,0.5844155923494686,1.0,0.5238095238095238,project_funding.json,plurality
0.14285714285714285,0.5428571524571426,1.0,0.4761904761904762,project_funding.json,borda
0.2857142857142857,0.6666666725,1.0,0.5714285714285714,project_funding.json,condorcet
0.2857142857142857,0.5428571524571426,1.0,0.4761904761904762,project_funding.json,quadratic
0.2857142857142857,0.6666666725,1.0,0.5714285714285714,project_funding.json,byzantine
0.2857142857142857,0.5428571524571426,1.0,0.4761904761904762,project_funding.json,raft
0.4,0.5200000095999997,1.0,0.5,dictatorship.json,majority
0.4,0.6666666722222221,1.0,0.6,dictatorship.json,plurality
0.4,0.6666666722222221,1.0,0.6,dictatorship.json,borda
0.4,0.6666666722222221,1.0,0.6,dictatorship.json,condorcet
0.4,0.6666666722222221,1.0,0.6,dictatorship.json,quadratic
0.6,0.6666666722222221,1.0,0.6,dictatorship.json,byzantine
0.4,0.6666666722222221,1.0,0.6,dictatorship.json,raft
0.25,0.8409090932231404,1.0,0.6875,large_clone_candidates.json,majority
0.25,0.8409090932231404,1.0,0.6875,large_clone_candidates.json,plurality
0.25,0.8409090932231404,1.0,0.6875,large_clone_candidates.json,borda
0.25,0.25000002999999893,1.0,0.25,large_clone_candidates.json,condorcet
0.25,0.8409090932231404,1.0,0.6875,large_clone_candidates.json,quadratic
0.25,0.9423076930177515,1.0,0.8125,large_clone_candidates.json,byzantine
0.25,0.8409090932231404,1.0,0.6875,large_clone_candidates.json,raft
0.2857142857142857,0.7582417621470836,1.0,0.619047619047619,super_spoiler.json,majority
0.2857142857142857,0.6285714363714284,1.0,0.4761904761904762,super_spoiler.json,plurality
0.2857142857142857,0.6285714363714284,1.0,0.4761904761904762,super_spoiler.json,borda
0.2857142857142857,0.7582417621470836,1.0,0.619047619047619,super_spoiler.json,condorcet
0.2857142857142857,0.9107142868861607,1.0,0.7619047619047621,super_spoiler.json,quadratic
0.2857142857142857,0.6285714363714284,1.0,0.4761904761904762,super_spoiler.json,byzantine
0.2857142857142857,0.9107142868861607,1.0,0.7619047619047621,super_spoiler.json,raft
0.5833333333333334,0.6904761957823129,1.0,0.5833333333333334,resource_division.json,majority
0.5833333333333334,0.6904761957823129,1.0,0.5833333333333334,resource_division.json,plurality
0.6666666666666666,0.6904761957823129,1.0,0.5833333333333334,resource_division.json,borda
0.4166666666666667,0.5555555644444443,1.0,0.5,resource_division.json,condorcet
0.3333333333333333,0.5555555644444443,1.0,0.5,resource_division.json,quadratic
0.16666666666666666,0.43333334693333303,1.0,0.4166666666666667,resource_division.json,byzantine
0.6666666666666666,0.6904761957823129,1.0,0.5833333333333334,resource_division.json,raft
0.3333333333333333,0.6818181870247932,1.0,0.6111111111111112,quadratic_budget.json,majority
0.3333333333333333,0.6818181870247932,1.0,0.6111111111111112,quadratic_budget.json,plurality
0.3333333333333333,0.6818181870247932,1.0,0.6111111111111112,quadratic_budget.json,borda
0.3333333333333333,0.6818181870247932,1.0,0.6111111111111112,quadratic_budget.json,condorcet
0.5,0.6818181870247932,1.0,0.6111111111111112,quadratic_budget.json,quadratic
0.3333333333333333,0.6333333399333332,1.0,0.5555555555555556,quadratic_budget.json,byzantine
0.3333333333333333,0.6818181870247932,1.0,0.6111111111111112,quadratic_budget.json,raft
